1:8000,chunk,replicate
1043,3,131
1044,4,131
1045,5,131
1046,6,131
1047,7,131
1048,8,131
1049,1,132
1050,2,132
1051,3,132
1052,4,132
1053,5,132
1054,6,132
1055,7,132
1056,8,132
1057,1,133
1058,2,133
1059,3,133
1060,4,133
1061,5,133
1062,6,133
1063,7,133
1064,8,133
1065,1,134
1066,2,134
1067,3,134
1068,4,134
1069,5,134
1070,6,134
1071,7,134
1072,8,134
1073,1,135
1074,2,135
1075,3,135
1076,4,135
1077,5,135
1078,6,135
1079,7,135
1080,8,135
1081,1,136
1082,2,136
1083,3,136
1084,4,136
1085,5,136
1086,6,136
1087,7,136
1088,8,136
1089,1,137
1090,2,137
1091,3,137
1092,4,137
1093,5,137
1094,6,137
1095,7,137
1096,8,137
1097,1,138
1098,2,138
1099,3,138
1100,4,138
1101,5,138
1102,6,138
1103,7,138
1104,8,138
1105,1,139
1106,2,139
1107,3,139
1108,4,139
1109,5,139
1110,6,139
1111,7,139
1112,8,139
1113,1,140
1114,2,140
1115,3,140
1116,4,140
1117,5,140
1118,6,140
1119,7,140
1120,8,140
1121,1,141
1122,2,141
1123,3,141
1124,4,141
1125,5,141
1126,6,141
1127,7,141
1128,8,141
1129,1,142
1130,2,142
1131,3,142
1132,4,142
1133,5,142
1134,6,142
1135,7,142
1136,8,142
1137,1,143
1138,2,143
1139,3,143
1140,4,143
1141,5,143
1142,6,143
1143,7,143
1144,8,143
1145,1,144
1146,2,144
1147,3,144
1148,4,144
1149,5,144
1150,6,144
1151,7,144
1152,8,144
1153,1,145
1154,2,145
1155,3,145
1156,4,145
1157,5,145
1158,6,145
1159,7,145
1160,8,145
1161,1,146
1162,2,146
1163,3,146
1164,4,146
1165,5,146
1166,6,146
1167,7,146
1168,8,146
1169,1,147
1170,2,147
1171,3,147
1172,4,147
1173,5,147
1174,6,147
1175,7,147
1176,8,147
1177,1,148
1178,2,148
1179,3,148
1180,4,148
1181,5,148
1182,6,148
1183,7,148
1184,8,148
1185,1,149
1186,2,149
1187,3,149
1188,4,149
1189,5,149
1190,6,149
1191,7,149
1192,8,149
1193,1,150
1194,2,150
1195,3,150
1196,4,150
1197,5,150
1198,6,150
1199,7,150
1200,8,150
1201,1,151
1202,2,151
1203,3,151
1204,4,151
1205,5,151
1206,6,151
1207,7,151
1208,8,151
1209,1,152
1210,2,152
1211,3,152
1212,4,152
1213,5,152
1214,6,152
1215,7,152
1216,8,152
1217,1,153
1218,2,153
1219,3,153
1220,4,153
1221,5,153
1222,6,153
1223,7,153
1224,8,153
1225,1,154
1226,2,154
1227,3,154
1228,4,154
1229,5,154
1230,6,154
1231,7,154
1232,8,154
1233,1,155
1234,2,155
1235,3,155
1236,4,155
1237,5,155
1238,6,155
1239,7,155
1240,8,155
1241,1,156
1242,2,156
1243,3,156
1244,4,156
1245,5,156
1246,6,156
1247,7,156
1248,8,156
1249,1,157
1250,2,157
1251,3,157
1252,4,157
1253,5,157
1254,6,157
1255,7,157
1256,8,157
1257,1,158
1258,2,158
1259,3,158
1260,4,158
1261,5,158
1262,6,158
1263,7,158
1264,8,158
1265,1,159
1266,2,159
1267,3,159
1268,4,159
1269,5,159
1270,6,159
1271,7,159
1272,8,159
1273,1,160
1274,2,160
1275,3,160
1276,4,160
1277,5,160
1278,6,160
1279,7,160
